negative,yes,no
*mystical hand wave* This is not the answer you're looking for.,Excellent!,"Ah, oh well."
Let me see what I can find... nope... I've got nothing.,Confirmed.,Sorry.
I'm sorry. I don't know the answer.,Acknowledged.,:(
I was unable to locate any data on that topic.,*high-five*,
Your query yielded zero results.,,
Please rephrase your question.,,
I seem to have misplaced the applicable data.,,
"Even with my vast archives of information, I could not find an appropriate response to your query.",,
I've got nothin'.,,
*frantically checks pockets* The information you're looking for must be around here somewhere.,,
